date,/m/01c751
2021-02-27,6.922467576554075
2021-02-28,3.1614418853554045
2021-03-01,1.9622742736688716
2021-03-02,3.706518072485647
2021-03-03,0.2997919029216332
2021-03-04,3.0933073619641243
2021-03-05,0.8448680900518752
2021-03-06,3.5429952163465734
2021-03-07,1.826005226886311
2021-03-08,4.265221164294145
2021-03-09,2.3302006999817855
2021-03-10,0.6540914245562904
2021-03-11,0.7494797573040829
2021-03-12,1.8123783222080552
2021-03-13,2.439215937407833
2021-03-14,0.0
2021-03-15,1.9622742736688716
2021-03-16,1.8123783222080552
2021-03-17,1.2127945163647889
2021-03-18,2.4255890327295777
2021-03-19,1.7851245128515427
2021-03-20,1.9895280830253836
2021-03-21,2.180304748520969
2021-03-22,1.4308249912168856
2021-03-23,3.856414023946463
2021-03-24,0.7085990432693148
2021-03-25,1.9350204643123594
2021-03-26,1.8805128455993352
2021-03-27,3.883667833302975
2021-03-28,2.5891118888686497
2021-03-29,2.5209773654773704
2021-03-30,0.44968785438244974
2021-03-31,1.4989595146081658
2021-04-01,3.352218550850989
2021-04-02,2.2348123672339923
2021-04-03,2.7390078403294673
2021-04-04,0.47694166373896185
2021-04-05,1.4853326099299098
2021-04-06,0.8039873760171071
2021-04-07,2.3302006999817855
2021-04-08,0.9675102321561797
2021-04-09,1.8805128455993352
2021-04-10,2.5073504607991137
2021-04-11,2.193931653199225
2021-04-12,2.0304087970601516
2021-04-13,3.3385916461727327
2021-04-14,2.7662616496859784
2021-04-15,2.1394240344862
2021-04-16,3.9245485473377433
2021-04-17,2.848023077755515
2021-04-18,0.9675102321561797
2021-04-19,2.3165737953035292
2021-04-20,0.8993757087648995
2021-04-21,0.7494797573040829
2021-04-22,1.1174061836169962
2021-04-23,0.0
2021-04-24,2.5754849841903935
2021-04-25,3.4067261695640134
2021-04-26,0.21803047485209687
2021-04-27,1.567094037999446
2021-04-28,1.6761092754254945
2021-04-29,1.4035711818603733
2021-04-30,3.0796804572858676
