date,/m/0g9pc
2021-04-30,3.4378669724374555
2021-05-01,0.4044549379338183
2021-05-02,3.3367532379540012
2021-05-03,2.831184565536728
2021-05-04,1.3144785482849095
2021-05-05,1.3144785482849095
2021-05-06,2.7300708310532737
2021-05-07,3.842321910371274
2021-05-08,3.842321910371274
2021-05-09,1.5167060172518187
2021-05-10,1.7189334862187278
2021-05-11,2.2245021586360005
2021-05-12,1.921160955185637
2021-05-13,1.5167060172518187
2021-05-14,2.0222746896690915
2021-05-15,2.0390155626143485
2021-05-16,1.8795119258614519
2021-05-17,1.7773778309785502
