date,/g/121j1nlf
2020-07-31,4.346874994937876
2020-08-01,2.173437497468938
2020-08-02,1.086718748734469
2020-08-03,6.248632805223196
2020-08-04,6.248632805223196
2020-08-05,4.075195307754258
2020-08-06,5.161914056488728
2020-08-07,1.9017578102853208
2020-08-08,6.248632805223196
2020-08-09,1.086718748734469
2020-08-10,6.520312492406814
2020-08-11,3.260156246203407
2020-08-12,5.161914056488728
2020-08-13,3.531835933387024
2020-08-14,3.531835933387024
2020-08-15,1.086718748734469
2020-08-16,3.8035156205706415
2020-08-17,4.075195307754258
2020-08-18,4.8902343693051105
2020-08-19,4.8902343693051105
2020-08-20,1.6300781231017034
2020-08-21,0.8150390615508517
2020-08-22,1.086718748734469
2020-08-23,1.9017578102853208
2020-08-24,3.260156246203407
2020-08-25,5.7052734308559625
