date,/m/0405g08_0,/m/0405g08,batch_id
2021-03-17,34.0,34.0,2
2021-03-18,39.0,39.0,2
2021-03-19,30.0,30.0,2
2021-03-20,56.0,56.0,2
2021-03-21,59.0,59.0,2
2021-03-22,34.0,34.0,2
2021-03-23,40.0,40.0,2
2021-03-24,18.0,18.0,2
2021-03-25,63.0,63.0,2
2021-03-26,30.0,30.0,2
2021-03-27,68.0,68.0,2
2021-03-28,70.0,70.0,2
2021-03-29,35.0,35.0,2
2021-03-30,24.0,24.0,2
2021-03-31,23.0,23.0,2
2021-04-01,41.0,41.0,2
2021-04-02,79.0,79.0,2
2021-04-03,34.0,34.0,2
2021-04-04,44.0,44.0,2
2021-04-05,26.0,26.0,2
2021-04-06,43.0,43.0,2
2021-04-07,33.0,33.0,2
2021-04-08,28.0,28.0,2
2021-04-09,28.0,28.0,2
2021-04-10,64.0,64.0,2
2021-04-11,47.0,47.0,2
2021-04-12,41.0,41.0,2
2021-04-13,64.0,64.0,2
2021-04-14,48.0,48.0,2
2021-04-15,54.0,54.0,2
2021-04-16,19.0,19.0,2
2021-04-17,58.0,58.0,2
2021-04-18,100.0,100.0,2
2021-04-19,42.0,42.0,2
2021-04-20,55.0,55.0,2
2021-04-21,18.0,18.0,2
2021-04-22,18.0,18.0,2
2021-04-23,19.0,19.0,2
2021-04-24,43.0,43.0,2
2021-04-25,49.0,49.0,2
2021-04-26,62.0,62.0,2
2021-04-27,51.0,51.0,2
2021-04-28,16.0,16.0,2
2021-04-29,22.0,22.0,2
2021-04-30,34.0,34.0,2
2021-05-01,44.0,44.0,2
2021-05-02,26.0,26.0,2
2021-05-03,22.0,22.0,2
2021-05-04,27.0,27.0,2
2021-05-05,6.0,6.0,2
2021-05-06,40.0,40.0,2
2021-05-07,24.0,24.0,2
2021-05-08,27.0,27.0,2
2021-05-09,47.0,47.0,2
2021-05-10,34.0,34.0,2
2021-05-11,61.0,61.0,2
2021-05-12,18.0,18.0,2
2021-05-13,28.0,28.0,2
2021-05-14,13.0,13.0,2
2021-05-15,21.0,21.0,2
