date,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9_,batch_id
2020-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-25,0.0,42.0,36.0,30.0,37.0,0.0,0.0,0.0,0.0,0.0,19.15455746367239,0
2020-08-26,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,7.926023778071334,0
2020-08-27,0.0,43.0,0.0,0.0,0.0,30.0,37.0,0.0,31.0,0.0,18.626155878467635,0
2020-08-28,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,31.0,9.114927344782034,0
2020-08-29,52.0,50.0,44.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,25.09907529722589,0
2020-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-09-02,44.0,0.0,0.0,0.0,0.0,31.0,38.0,0.0,0.0,0.0,14.927344782034346,0
2020-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
