date,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s,batch_id
2020-07-19,6.0,0.0,0.0,3.0,3.0,0.0,3.0,5.0,0.0,5.0,2.5100401606425704,0
2020-07-20,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,2.0,1.1044176706827311,0
2020-07-21,5.0,7.0,3.0,2.0,6.0,9.0,7.0,5.0,7.0,9.0,6.024096385542169,0
2020-07-22,5.0,2.0,3.0,0.0,3.0,2.0,0.0,2.0,0.0,2.0,1.9076305220883536,0
2020-07-23,3.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.2048192771084338,0
2020-07-24,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.2048192771084338,0
2020-07-25,3.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.1044176706827311,0
2020-07-26,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.2048192771084338,0
2020-07-27,0.0,2.0,5.0,5.0,9.0,2.0,2.0,5.0,5.0,4.0,3.91566265060241,0
2020-07-28,0.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.9036144578313253,0
2020-07-29,0.0,4.0,0.0,2.0,3.0,5.0,2.0,2.0,3.0,2.0,2.3092369477911645,0
2020-07-30,8.0,0.0,0.0,3.0,0.0,3.0,3.0,8.0,5.0,0.0,3.0120481927710845,0
2020-07-31,9.0,2.0,3.0,3.0,0.0,8.0,3.0,3.0,3.0,0.0,3.413654618473896,0
2020-08-01,6.0,7.0,6.0,3.0,4.0,5.0,6.0,3.0,3.0,5.0,4.819277108433735,0
2020-08-02,3.0,0.0,0.0,8.0,3.0,8.0,5.0,5.0,3.0,7.0,4.216867469879518,0
2020-08-03,5.0,4.0,8.0,2.0,0.0,4.0,2.0,0.0,10.0,6.0,4.116465863453815,0
2020-08-04,3.0,5.0,5.0,2.0,6.0,2.0,7.0,2.0,3.0,2.0,3.714859437751004,0
2020-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-06,0.0,5.0,6.0,0.0,3.0,0.0,5.0,5.0,3.0,2.0,2.9116465863453818,0
2020-08-07,6.0,2.0,6.0,5.0,7.0,3.0,5.0,0.0,3.0,2.0,3.91566265060241,0
2020-08-08,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,6.0,5.0,2.108433734939759,0
2020-08-09,9.0,5.0,6.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,3.313253012048193,0
2020-08-10,5.0,0.0,0.0,0.0,0.0,5.0,7.0,5.0,7.0,0.0,2.9116465863453818,0
2020-08-11,2.0,2.0,5.0,7.0,3.0,7.0,7.0,7.0,5.0,2.0,4.718875502008032,0
2020-08-12,2.0,2.0,5.0,2.0,6.0,2.0,7.0,2.0,0.0,0.0,2.811244979919679,0
2020-08-13,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9036144578313253,0
2020-08-14,2.0,2.0,5.0,5.0,0.0,5.0,5.0,7.0,2.0,0.0,3.313253012048193,0
2020-08-15,3.0,2.0,0.0,5.0,0.0,0.0,3.0,3.0,3.0,5.0,2.4096385542168677,0
2020-08-16,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20080321285140562,0
2020-08-17,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0040160642570282,0
2020-08-18,5.0,2.0,3.0,5.0,3.0,5.0,2.0,5.0,10.0,2.0,4.216867469879518,0
2020-08-19,15.0,6.0,8.0,12.0,12.0,14.0,5.0,7.0,5.0,6.0,9.036144578313253,0
2020-08-20,0.0,2.0,3.0,2.0,3.0,5.0,2.0,5.0,2.0,6.0,3.0120481927710845,0
2020-08-21,5.0,4.0,3.0,7.0,6.0,7.0,2.0,7.0,5.0,4.0,5.020080321285141,0
