date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0
2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,14.0,26.0,42.0,11.0,10.0,0.0,13.0,14.0,13.0,13.0,0.0,19.0,18.0,0.0,34.0,29.0,26.0,15.0,33.0,11.0,23.37217272104181
2020-04-04,65.0,43.0,100.0,39.0,11.0,56.0,44.0,46.0,28.0,72.0,18.0,84.0,40.0,100.0,19.0,82.0,57.0,34.0,74.0,39.0,72.03564084989719
2020-04-05,49.0,30.0,48.0,26.0,11.0,74.0,60.0,60.0,14.0,29.0,76.0,42.0,100.0,33.0,39.0,33.0,59.0,18.0,18.0,13.0,57.02535983550377
2020-04-06,27.0,25.0,41.0,22.0,19.0,30.0,12.0,38.0,35.0,24.0,0.0,17.0,33.0,27.0,16.0,13.0,12.0,28.0,31.0,43.0,33.790267306374226
2020-04-07,28.0,13.0,41.0,21.0,19.0,46.0,25.0,26.0,0.0,13.0,16.0,35.0,0.0,0.0,16.0,14.0,37.0,0.0,31.0,0.0,26.11377655928718
2020-04-08,14.0,0.0,14.0,22.0,0.0,16.0,13.0,13.0,0.0,25.0,16.0,18.0,0.0,15.0,16.0,14.0,12.0,15.0,0.0,0.0,15.284441398217957
2020-04-09,14.0,13.0,0.0,0.0,10.0,16.0,13.0,0.0,13.0,12.0,16.0,0.0,18.0,0.0,33.0,14.0,13.0,15.0,0.0,12.0,14.53050034270048
2020-04-10,14.0,13.0,0.0,0.0,0.0,0.0,13.0,26.0,25.0,13.0,16.0,18.0,36.0,29.0,16.0,14.0,13.0,15.0,32.0,23.0,21.658670322138452
2020-04-11,0.0,15.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,20.0,17.0,0.0,0.0,0.0,17.0,0.0,13.0,8.087731322823851
2020-04-12,16.0,0.0,0.0,13.0,0.0,0.0,0.0,30.0,28.0,0.0,18.0,0.0,0.0,16.0,19.0,0.0,14.0,0.0,0.0,0.0,10.555174777244687
2020-04-13,15.0,14.0,0.0,24.0,10.0,17.0,55.0,14.0,0.0,14.0,52.0,39.0,56.0,15.0,18.0,31.0,0.0,32.0,17.0,0.0,28.992460589444825
2020-04-14,13.0,24.0,0.0,0.0,0.0,30.0,12.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,16.0,13.0,24.0,14.0,31.0,22.0,15.832762165867031
2020-04-15,14.0,26.0,29.0,0.0,10.0,16.0,0.0,26.0,25.0,25.0,33.0,19.0,35.0,29.0,17.0,0.0,12.0,15.0,16.0,23.0,25.359835503769705
2020-04-16,14.0,26.0,0.0,11.0,10.0,0.0,38.0,13.0,0.0,12.0,0.0,36.0,18.0,14.0,17.0,28.0,13.0,15.0,32.0,23.0,21.93283070596299
2020-04-17,42.0,13.0,14.0,11.0,10.0,16.0,13.0,13.0,12.0,0.0,16.0,19.0,35.0,15.0,50.0,14.0,25.0,0.0,33.0,23.0,25.633995887594242
2020-04-18,0.0,0.0,16.0,0.0,22.0,18.0,14.0,0.0,14.0,28.0,37.0,0.0,19.0,0.0,18.0,16.0,0.0,16.0,18.0,13.0,17.06648389307745
2020-04-19,15.0,14.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0,0.0,0.0,20.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,6.579849211788896
