date,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5,batch_id
2020-05-29,32.0,33.0,10.0,34.0,39.0,60.0,10.0,27.0,25.0,43.0,42.9355281207133,0
2020-05-30,37.0,10.0,11.0,10.0,23.0,30.0,23.0,43.0,39.0,38.0,36.21399176954732,0
2020-05-31,28.0,29.0,44.0,20.0,45.0,40.0,46.0,43.0,19.0,50.0,49.93141289437585,0
2020-06-01,39.0,32.0,37.0,25.0,29.0,25.0,10.0,35.0,8.0,0.0,32.92181069958848,0
2020-06-02,16.0,0.0,0.0,17.0,9.0,8.0,10.0,26.0,24.0,10.0,16.46090534979424,0
2020-06-03,0.0,16.0,9.0,24.0,18.0,16.0,19.0,25.0,16.0,30.0,23.73113854595336,0
2020-06-04,22.0,16.0,9.0,0.0,9.0,8.0,9.0,9.0,16.0,10.0,14.814814814814813,0
2020-06-05,0.0,0.0,9.0,8.0,9.0,16.0,10.0,0.0,8.0,31.0,12.482853223593963,0
2020-06-06,0.0,17.0,10.0,0.0,20.0,26.0,10.0,9.0,8.0,22.0,16.735253772290807,0
2020-06-07,44.0,18.0,10.0,28.0,21.0,28.0,44.0,10.0,45.0,0.0,34.01920438957476,0
2020-06-08,22.0,15.0,9.0,16.0,9.0,0.0,18.0,0.0,23.0,0.0,15.363511659807955,0
2020-06-09,23.0,32.0,46.0,33.0,38.0,17.0,39.0,36.0,8.0,32.0,41.70096021947874,0
2020-06-10,8.0,9.0,20.0,26.0,40.0,9.0,52.0,19.0,26.0,22.0,31.687242798353907,0
2020-06-11,8.0,9.0,10.0,18.0,31.0,18.0,42.0,19.0,18.0,11.0,25.240054869684496,0
2020-06-12,26.0,9.0,0.0,18.0,43.0,28.0,43.0,39.0,36.0,46.0,39.50617283950617,0
2020-06-13,20.0,20.0,11.0,21.0,12.0,31.0,36.0,11.0,20.0,26.0,28.532235939643346,0
2020-06-14,28.0,10.0,11.0,10.0,23.0,40.0,47.0,0.0,39.0,25.0,31.961591220850476,0
2020-06-15,8.0,17.0,29.0,43.0,39.0,26.0,30.0,28.0,25.0,22.0,36.62551440329218,0
2020-06-16,8.0,56.0,28.0,16.0,29.0,50.0,58.0,35.0,32.0,10.0,44.17009602194788,0
2020-06-17,8.0,25.0,19.0,17.0,20.0,26.0,0.0,9.0,17.0,33.0,23.86831275720164,0
2020-06-18,34.0,27.0,20.0,36.0,11.0,18.0,11.0,19.0,36.0,23.0,32.235939643347045,0
2020-06-19,11.0,11.0,26.0,12.0,27.0,35.0,14.0,25.0,46.0,15.0,30.45267489711934,0
2020-06-20,19.0,39.0,55.0,20.0,23.0,0.0,12.0,32.0,10.0,38.0,34.01920438957476,0
2020-06-21,9.0,55.0,53.0,46.0,22.0,47.0,44.0,50.0,18.0,48.0,53.77229080932785,0
2020-06-22,8.0,24.0,36.0,8.0,9.0,17.0,19.0,9.0,8.0,0.0,18.930041152263374,0
2020-06-23,42.0,9.0,20.0,18.0,10.0,9.0,21.0,28.0,43.0,0.0,27.434842249657063,0
