,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-04-04,28.0,32.0,31.0,31.0,34.0,32.0,32.0,29.0,32.0,34.0,36.0,37.0,30.0,35.0,33.0,31.0,32.0,36.0,27.0,30.0,32.1
2020-04-05,28.0,29.0,31.0,27.0,29.0,31.0,30.0,30.0,31.0,32.0,32.0,31.0,30.0,31.0,31.0,30.0,33.0,32.0,29.0,32.0,30.45
2020-04-06,15.0,16.0,17.0,15.0,17.0,17.0,15.0,16.0,16.0,17.0,16.0,16.0,15.0,17.0,18.0,17.0,15.0,18.0,16.0,19.0,16.4
2020-04-07,16.0,15.0,17.0,16.0,16.0,15.0,14.0,15.0,15.0,16.0,17.0,15.0,16.0,17.0,14.0,17.0,14.0,17.0,15.0,18.0,15.75
2020-04-08,13.0,15.0,14.0,14.0,17.0,15.0,12.0,14.0,16.0,14.0,17.0,15.0,15.0,14.0,15.0,15.0,14.0,17.0,11.0,14.0,14.55
2020-04-09,15.0,16.0,15.0,14.0,14.0,14.0,13.0,12.0,14.0,12.0,14.0,12.0,13.0,14.0,12.0,13.0,14.0,18.0,14.0,13.0,13.8
2020-04-10,13.0,12.0,13.0,11.0,13.0,13.0,11.0,10.0,12.0,12.0,15.0,13.0,13.0,13.0,12.0,13.0,12.0,14.0,13.0,13.0,12.55
2020-04-11,14.0,15.0,14.0,14.0,16.0,16.0,12.0,15.0,13.0,12.0,12.0,12.0,13.0,14.0,14.0,15.0,14.0,15.0,14.0,14.0,13.9
2020-04-12,13.0,12.0,13.0,12.0,12.0,14.0,11.0,12.0,13.0,11.0,15.0,15.0,12.0,14.0,12.0,12.0,11.0,15.0,11.0,14.0,12.7
2020-04-13,16.0,15.0,17.0,15.0,17.0,15.0,13.0,13.0,17.0,15.0,17.0,14.0,17.0,15.0,17.0,16.0,16.0,19.0,16.0,14.0,15.7
2020-04-14,14.0,12.0,13.0,11.0,12.0,15.0,12.0,13.0,14.0,12.0,16.0,13.0,11.0,14.0,12.0,12.0,14.0,14.0,12.0,14.0,13.0
2020-04-15,14.0,12.0,13.0,15.0,14.0,13.0,14.0,14.0,13.0,13.0,14.0,14.0,12.0,14.0,13.0,12.0,14.0,15.0,12.0,14.0,13.45
2020-04-16,12.0,10.0,12.0,12.0,12.0,12.0,13.0,11.0,13.0,15.0,13.0,13.0,12.0,13.0,13.0,11.0,12.0,13.0,11.0,13.0,12.3
2020-04-17,12.0,15.0,15.0,13.0,14.0,14.0,13.0,13.0,16.0,15.0,15.0,16.0,14.0,15.0,14.0,13.0,14.0,17.0,11.0,15.0,14.2
2020-04-18,13.0,14.0,13.0,12.0,12.0,15.0,13.0,13.0,13.0,14.0,15.0,13.0,13.0,12.0,12.0,11.0,14.0,15.0,14.0,13.0,13.2
2020-04-19,14.0,12.0,12.0,12.0,16.0,12.0,11.0,12.0,13.0,13.0,10.0,11.0,11.0,13.0,14.0,11.0,11.0,14.0,12.0,12.0,12.3
2020-04-20,11.0,13.0,13.0,11.0,13.0,11.0,10.0,12.0,10.0,12.0,10.0,10.0,12.0,11.0,12.0,12.0,12.0,10.0,11.0,12.0,11.4
2020-04-21,12.0,11.0,9.0,11.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0,11.0,9.0,11.0,10.0,11.0,9.0,10.0,11.0,11.0,10.45
2020-04-22,10.0,11.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,11.0,9.0,11.0,11.0,11.0,10.0,11.0,10.0,12.0,11.0,11.0,10.85
2020-04-23,21.0,20.0,21.0,20.0,22.0,21.0,21.0,19.0,19.0,20.0,21.0,22.0,23.0,21.0,19.0,20.0,20.0,22.0,21.0,20.0,20.65
2020-04-24,8.0,10.0,10.0,10.0,9.0,10.0,8.0,9.0,11.0,10.0,12.0,10.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,9.4
2020-04-25,9.0,10.0,10.0,9.0,11.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,11.0,8.0,11.0,10.0,11.0,9.65
2020-04-26,8.0,12.0,9.0,8.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0,6.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,8.65
2020-04-27,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,6.0,7.0,7.9
2020-04-28,10.0,10.0,11.0,9.0,12.0,10.0,10.0,11.0,11.0,11.0,12.0,10.0,9.0,11.0,10.0,11.0,11.0,12.0,9.0,11.0,10.55
2020-04-29,9.0,10.0,12.0,9.0,11.0,9.0,11.0,10.0,12.0,11.0,14.0,10.0,9.0,11.0,10.0,12.0,10.0,13.0,9.0,12.0,10.7
2020-04-30,11.0,11.0,11.0,12.0,11.0,10.0,12.0,11.0,13.0,10.0,13.0,10.0,10.0,12.0,11.0,11.0,11.0,12.0,10.0,13.0,11.25
2020-05-01,11.0,9.0,9.0,10.0,10.0,11.0,11.0,12.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,9.0,12.0,10.0,11.0,10.3
2020-05-02,10.0,10.0,12.0,12.0,12.0,10.0,8.0,11.0,11.0,10.0,11.0,12.0,10.0,10.0,10.0,11.0,11.0,10.0,11.0,11.0,10.65
2020-05-03,11.0,10.0,10.0,11.0,11.0,10.0,11.0,9.0,12.0,12.0,12.0,10.0,10.0,11.0,10.0,11.0,9.0,13.0,10.0,10.0,10.65
2020-05-04,9.0,9.0,9.0,10.0,12.0,10.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.5
2020-05-05,8.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,7.95
2020-05-06,10.0,8.0,8.0,9.0,9.0,9.0,6.0,8.0,7.0,10.0,7.0,8.0,9.0,8.0,10.0,8.0,9.0,6.0,7.0,9.0,8.25
2020-05-07,7.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,9.0,8.0,8.0,8.0,9.0,7.0,9.0,7.0,7.0,8.0,6.0,7.0,7.65
2020-05-08,8.0,7.0,9.0,8.0,9.0,7.0,9.0,8.0,9.0,7.0,9.0,10.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,7.0,8.15
2020-05-09,8.0,7.0,9.0,9.0,10.0,9.0,7.0,8.0,9.0,10.0,7.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.35
2020-05-10,9.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,7.0,10.0,9.0,7.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,8.95
2020-05-11,7.0,8.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,9.0,7.3
