date,/m/0m7pl_0,/m/0m7pl_1,/m/0m7pl_2,/m/0m7pl_3,/m/0m7pl_4,/m/0m7pl_5,/m/0m7pl_6,/m/0m7pl_7,/m/0m7pl_8,/m/0m7pl_9,/m/0m7pl,batch_id
2020-08-22,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.9,0
2020-08-23,3.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,1.5,0
2020-08-24,1.0,6.0,3.0,4.0,3.0,6.0,2.0,7.0,3.0,4.0,3.9,0
2020-08-25,2.0,1.0,3.0,4.0,3.0,4.0,6.0,1.0,4.0,2.0,3.0,0
2020-08-26,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.3,0
2020-08-27,0.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,2.1,0
2020-08-28,2.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,2.2,0
2020-08-29,1.0,3.0,3.0,0.0,3.0,2.0,3.0,2.0,2.0,2.0,2.1,0
2020-08-30,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.7,0
2020-08-31,3.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,0
2020-09-01,2.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,0.0,2.0,1.9,0
2020-09-02,4.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,1.6,0
2020-09-03,2.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,2.1,0
2020-09-04,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,2.8,0
2020-09-05,5.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,2.4,0
2020-09-06,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0
2020-09-07,0.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0,1.4,0
2020-09-08,4.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,4.2,0
2020-09-09,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,0
2020-09-10,3.0,3.0,4.0,4.0,3.0,5.0,5.0,2.0,6.0,6.0,4.1,0
