,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5_10,/m/01cdt5_11,/m/01cdt5_12,/m/01cdt5_13,/m/01cdt5_14,/m/01cdt5_15,/m/01cdt5_16,/m/01cdt5_17,/m/01cdt5_18,/m/01cdt5_19,/m/01cdt5
2020-03-30,51.0,55.0,58.0,50.0,53.0,48.0,26.0,61.0,24.0,53.0,77.0,29.0,0.0,32.0,32.0,24.0,28.0,35.0,0.0,22.0,65.57093425605537
2020-03-31,0.0,56.0,49.0,100.0,0.0,48.0,51.0,30.0,23.0,35.0,25.0,57.0,53.0,94.0,62.0,47.0,85.0,35.0,0.0,22.0,75.4325259515571
2020-04-01,54.0,29.0,30.0,26.0,55.0,51.0,53.0,63.0,25.0,18.0,27.0,89.0,0.0,98.0,98.0,0.0,89.0,72.0,25.0,46.0,82.00692041522491
2020-04-02,53.0,28.0,20.0,26.0,55.0,0.0,52.0,31.0,49.0,0.0,26.0,74.0,0.0,65.0,32.0,48.0,0.0,36.0,0.0,22.0,53.37370242214533
2020-04-03,55.0,29.0,21.0,27.0,56.0,77.0,27.0,63.0,25.0,18.0,55.0,91.0,28.0,100.0,33.0,25.0,0.0,37.0,76.0,23.0,74.91349480968859
2020-04-04,0.0,0.0,37.0,0.0,0.0,0.0,32.0,0.0,29.0,86.0,0.0,71.0,33.0,40.0,0.0,30.0,36.0,44.0,29.0,27.0,42.733564013840834
2020-04-05,0.0,68.0,24.0,61.0,64.0,29.0,62.0,73.0,29.0,0.0,31.0,36.0,65.0,0.0,76.0,28.0,0.0,42.0,29.0,26.0,64.27335640138409
2020-04-06,24.0,26.0,93.0,47.0,74.0,23.0,48.0,58.0,0.0,100.0,48.0,68.0,0.0,0.0,59.0,22.0,0.0,0.0,23.0,61.0,66.95501730103807
2020-04-07,25.0,27.0,29.0,0.0,26.0,0.0,0.0,30.0,23.0,34.0,25.0,42.0,0.0,31.0,31.0,24.0,0.0,0.0,24.0,44.0,35.89965397923876
2020-04-08,27.0,29.0,20.0,0.0,27.0,25.0,26.0,0.0,49.0,18.0,53.0,30.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,23.0,31.40138408304498
2020-04-09,27.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,34.0,25.0,0.0,0.0,0.0,0.0,12.370242214532873
2020-04-10,0.0,89.0,32.0,0.0,29.0,26.0,55.0,65.0,26.0,0.0,28.0,31.0,0.0,0.0,34.0,0.0,31.0,38.0,77.0,24.0,50.60553633217993
2020-04-11,0.0,0.0,23.0,0.0,32.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,29.0,34.0,0.0,29.0,0.0,19.11764705882353
2020-04-12,31.0,0.0,0.0,0.0,32.0,29.0,0.0,37.0,0.0,0.0,0.0,35.0,32.0,39.0,38.0,29.0,0.0,0.0,29.0,27.0,30.968858131487888
2020-04-13,29.0,31.0,33.0,56.0,0.0,0.0,28.0,34.0,52.0,20.0,57.0,32.0,59.0,35.0,35.0,26.0,0.0,39.0,53.0,0.0,53.54671280276817
2020-04-14,54.0,58.0,41.0,26.0,0.0,50.0,27.0,0.0,24.0,18.0,27.0,60.0,56.0,33.0,65.0,24.0,29.0,72.0,0.0,23.0,59.42906574394464
2020-04-15,0.0,30.0,43.0,0.0,0.0,54.0,0.0,33.0,0.0,0.0,28.0,0.0,58.0,34.0,0.0,26.0,0.0,77.0,0.0,24.0,35.20761245674741
2020-04-16,28.0,0.0,21.0,28.0,29.0,53.0,28.0,0.0,51.0,19.0,28.0,48.0,57.0,0.0,0.0,52.0,93.0,39.0,26.0,0.0,51.90311418685121
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.055363321799308
2020-04-18,62.0,0.0,0.0,30.0,32.0,29.0,30.0,36.0,28.0,21.0,30.0,51.0,94.0,37.0,75.0,56.0,68.0,83.0,28.0,0.0,68.33910034602077
2020-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
