date,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1,batch_id
2020-06-29,17.0,15.0,17.0,16.0,16.0,14.0,23.0,13.0,23.0,21.0,20.091848450057405,0.0
2020-06-30,9.0,4.0,14.0,14.0,18.0,11.0,17.0,9.0,13.0,14.0,14.121699196326064,0.0
2020-07-01,19.0,13.0,5.0,9.0,11.0,8.0,0.0,10.0,22.0,10.0,12.284730195177955,0.0
2020-07-02,9.0,21.0,13.0,31.0,17.0,18.0,29.0,19.0,13.0,14.0,21.12514351320321,0.0
2020-07-03,5.0,14.0,20.0,14.0,4.0,12.0,9.0,5.0,14.0,20.0,13.432835820895527,0.0
2020-07-04,26.0,12.0,13.0,12.0,10.0,10.0,17.0,26.0,18.0,19.0,18.71412169919633,0.0
2020-07-05,12.0,22.0,23.0,29.0,13.0,9.0,21.0,24.0,16.0,12.0,20.78071182548795,0.0
2020-07-06,5.0,19.0,5.0,5.0,8.0,12.0,14.0,16.0,14.0,15.0,12.973593570608495,0.0
2020-07-07,23.0,17.0,23.0,23.0,25.0,11.0,25.0,19.0,26.0,19.0,24.225028702640646,0.0
2020-07-08,5.0,4.0,14.0,18.0,14.0,11.0,17.0,14.0,13.0,9.0,13.662456946039036,0.0
2020-07-09,30.0,22.0,34.0,28.0,4.0,12.0,13.0,35.0,9.0,24.0,24.225028702640646,0.0
2020-07-10,21.0,15.0,10.0,0.0,16.0,4.0,14.0,16.0,14.0,0.0,12.629161882893227,0.0
2020-07-11,16.0,5.0,11.0,21.0,16.0,17.0,19.0,33.0,10.0,16.0,18.828932261768077,0.0
2020-07-12,23.0,10.0,22.0,27.0,4.0,23.0,15.0,6.0,37.0,17.0,21.12514351320321,0.0
2020-07-13,19.0,30.0,9.0,23.0,14.0,11.0,13.0,14.0,17.0,24.0,19.97703788748565,0.0
2020-07-14,25.0,4.0,10.0,5.0,19.0,8.0,22.0,10.0,23.0,15.0,16.188289322617678,0.0
2020-07-15,15.0,13.0,9.0,14.0,7.0,4.0,21.0,29.0,18.0,19.0,17.106773823191734,0.0
2020-07-16,5.0,9.0,5.0,4.0,14.0,11.0,8.0,5.0,13.0,19.0,10.677382319173367,0.0
2020-07-17,15.0,14.0,10.0,14.0,15.0,8.0,13.0,20.0,14.0,15.0,15.843857634902413,0.0
2020-07-18,6.0,5.0,11.0,16.0,13.0,0.0,10.0,12.0,10.0,11.0,10.79219288174512,0.0
2020-07-19,22.0,26.0,11.0,16.0,17.0,9.0,20.0,11.0,20.0,33.0,21.239954075774968,0.0
2020-07-20,33.0,35.0,32.0,32.0,11.0,27.0,9.0,19.0,13.0,29.0,27.554535017221585,0.0
2020-07-21,15.0,22.0,19.0,14.0,26.0,27.0,13.0,29.0,22.0,19.0,23.65097588978186,0.0
2020-07-22,20.0,18.0,44.0,19.0,15.0,24.0,14.0,40.0,27.0,15.0,27.095292766934556,0.0
2020-07-23,16.0,28.0,10.0,15.0,0.0,16.0,18.0,16.0,9.0,15.0,16.417910447761194,0.0
2020-07-24,31.0,14.0,10.0,25.0,16.0,17.0,19.0,16.0,29.0,21.0,22.732491389207805,0.0
2020-07-25,12.0,11.0,25.0,24.0,0.0,15.0,11.0,6.0,11.0,12.0,14.580941446613087,0.0
2020-07-26,27.0,10.0,11.0,16.0,25.0,18.0,15.0,22.0,10.0,27.0,20.78071182548795,0.0
2020-07-27,25.0,40.0,19.0,33.0,7.0,20.0,31.0,25.0,23.0,25.0,28.473019517795638,0.0
2020-07-28,10.0,5.0,5.0,5.0,8.0,8.0,4.0,5.0,14.0,0.0,7.347876004592424,0.0
2020-07-29,31.0,23.0,20.0,39.0,15.0,16.0,5.0,15.0,23.0,20.0,23.76578645235362,0.0
2020-07-30,31.0,33.0,36.0,30.0,23.0,25.0,19.0,16.0,24.0,21.0,29.621125143513204,0.0
2020-07-31,33.0,25.0,32.0,32.0,16.0,26.0,34.0,39.0,40.0,22.0,34.328358208955216,0.0
2020-08-01,39.0,29.0,57.0,43.0,34.0,25.0,29.0,13.0,29.0,45.0,39.380022962112506,0.0
2020-08-02,22.0,30.0,16.0,26.0,16.0,17.0,25.0,33.0,20.0,16.0,25.373134328358212,0.0
2020-08-03,13.0,16.0,13.0,8.0,10.0,18.0,20.0,18.0,20.0,27.0,18.71412169919633,0.0
2020-08-04,18.0,20.0,22.0,17.0,13.0,14.0,12.0,18.0,16.0,9.0,18.254879448909303,0.0
2020-08-05,20.0,18.0,29.0,29.0,11.0,12.0,27.0,30.0,18.0,25.0,25.1435132032147,0.0
2020-08-06,10.0,9.0,5.0,10.0,15.0,8.0,23.0,26.0,9.0,10.0,14.351320321469574,0.0
2020-08-07,38.0,25.0,16.0,31.0,16.0,22.0,20.0,33.0,40.0,22.0,30.19517795637199,0.0
2020-08-08,26.0,12.0,19.0,18.0,10.0,26.0,17.0,39.0,35.0,13.0,24.68427095292767,0.0
2020-08-09,11.0,5.0,34.0,11.0,13.0,14.0,15.0,18.0,5.0,12.0,15.843857634902413,0.0
2020-08-10,14.0,13.0,9.0,9.0,10.0,7.0,17.0,9.0,9.0,5.0,11.71067738231917,0.0
