iso_code,location,date,icu_patients,hosp_patients,population
OWID_AFR,Africa,2020-03-16,,,1340598113.0
OWID_AFR,Africa,2020-03-17,,,1340598113.0
OWID_AFR,Africa,2020-03-18,,,1340598113.0
OWID_AFR,Africa,2020-03-19,,,1340598113.0
OWID_AFR,Africa,2020-03-20,,,1340598113.0
OWID_AFR,Africa,2020-03-21,,,1340598113.0
OWID_AFR,Africa,2020-03-22,,,1340598113.0
OWID_AFR,Africa,2020-03-23,,,1340598113.0
OWID_AFR,Africa,2020-03-24,,,1340598113.0
OWID_AFR,Africa,2020-03-25,,,1340598113.0
OWID_AFR,Africa,2020-03-26,,,1340598113.0
OWID_AFR,Africa,2020-03-27,,,1340598113.0
OWID_AFR,Africa,2020-03-28,,,1340598113.0
OWID_AFR,Africa,2020-03-29,,,1340598113.0
OWID_AFR,Africa,2020-03-30,,,1340598113.0
OWID_AFR,Africa,2020-03-31,,,1340598113.0
OWID_AFR,Africa,2020-04-01,,,1340598113.0
OWID_AFR,Africa,2020-04-02,,,1340598113.0
OWID_AFR,Africa,2020-04-03,,,1340598113.0
OWID_AFR,Africa,2020-04-04,,,1340598113.0
OWID_AFR,Africa,2020-04-05,,,1340598113.0
OWID_AFR,Africa,2020-04-06,,,1340598113.0
OWID_AFR,Africa,2020-04-07,,,1340598113.0
OWID_AFR,Africa,2020-04-08,,,1340598113.0
OWID_AFR,Africa,2020-04-09,,,1340598113.0
OWID_AFR,Africa,2020-04-10,,,1340598113.0
OWID_AFR,Africa,2020-04-11,,,1340598113.0
OWID_AFR,Africa,2020-04-12,,,1340598113.0
OWID_AFR,Africa,2020-04-13,,,1340598113.0
OWID_AFR,Africa,2020-04-14,,,1340598113.0
OWID_AFR,Africa,2020-04-15,,,1340598113.0
OWID_AFR,Africa,2020-04-16,,,1340598113.0
OWID_AFR,Africa,2020-04-17,,,1340598113.0
OWID_AFR,Africa,2020-04-18,,,1340598113.0
OWID_AFR,Africa,2020-04-19,,,1340598113.0
OWID_AFR,Africa,2020-04-20,,,1340598113.0
OWID_AFR,Africa,2020-04-21,,,1340598113.0
OWID_AFR,Africa,2020-04-22,,,1340598113.0
OWID_AFR,Africa,2020-04-23,,,1340598113.0
OWID_AFR,Africa,2020-04-24,,,1340598113.0
OWID_AFR,Africa,2020-04-25,,,1340598113.0
OWID_AFR,Africa,2020-04-26,,,1340598113.0
OWID_AFR,Africa,2020-04-27,,,1340598113.0
OWID_AFR,Africa,2020-04-28,,,1340598113.0
OWID_AFR,Africa,2020-04-29,,,1340598113.0
OWID_AFR,Africa,2020-04-30,,,1340598113.0
OWID_AFR,Africa,2020-05-01,,,1340598113.0
OWID_AFR,Africa,2020-05-02,,,1340598113.0
OWID_AFR,Africa,2020-05-03,,,1340598113.0
OWID_AFR,Africa,2020-05-04,,,1340598113.0
OWID_AFR,Africa,2020-05-05,,,1340598113.0
OWID_AFR,Africa,2020-05-06,,,1340598113.0
OWID_AFR,Africa,2020-05-07,,,1340598113.0
OWID_AFR,Africa,2020-05-08,,,1340598113.0
OWID_AFR,Africa,2020-05-09,,,1340598113.0
OWID_AFR,Africa,2020-05-10,,,1340598113.0
OWID_AFR,Africa,2020-05-11,,,1340598113.0
OWID_AFR,Africa,2020-05-12,,,1340598113.0
OWID_AFR,Africa,2020-05-13,,,1340598113.0
OWID_AFR,Africa,2020-05-14,,,1340598113.0
OWID_AFR,Africa,2020-05-15,,,1340598113.0
OWID_AFR,Africa,2020-05-16,,,1340598113.0
OWID_AFR,Africa,2020-05-17,,,1340598113.0
OWID_AFR,Africa,2020-05-18,,,1340598113.0
OWID_AFR,Africa,2020-05-19,,,1340598113.0
OWID_AFR,Africa,2020-05-20,,,1340598113.0
