date,/g/11j8_9sv06_0,/g/11j8_9sv06_1,/g/11j8_9sv06_2,/g/11j8_9sv06_3,/g/11j8_9sv06_4,/g/11j8_9sv06_5,/g/11j8_9sv06_6,/g/11j8_9sv06_7,/g/11j8_9sv06_8,/g/11j8_9sv06_9,/g/11j8_9sv06
2020-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-06,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,18.039772727272727
2020-07-07,0.0,0.0,38.0,79.0,0.0,0.0,81.0,0.0,53.0,40.0,41.335227272727266
2020-07-08,77.0,45.0,0.0,82.0,0.0,46.0,83.0,77.0,0.0,78.0,69.31818181818181
2020-07-09,0.0,46.0,0.0,88.0,73.0,0.0,0.0,0.0,56.0,42.0,43.32386363636363
2020-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-16,0.0,0.0,0.0,0.0,67.0,40.0,74.0,0.0,0.0,0.0,25.710227272727273
2020-07-17,0.0,43.0,0.0,0.0,65.0,42.0,76.0,80.0,0.0,37.0,48.7215909090909
2020-07-18,0.0,40.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,16.90340909090909
2020-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,41.0,0.0,72.0,0.0,0.0,70.0,72.0,0.0,0.0,36.22159090909091
2020-07-21,0.0,0.0,35.0,0.0,0.0,0.0,72.0,0.0,100.0,37.0,34.65909090909091
2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-23,69.0,0.0,0.0,0.0,0.0,0.0,75.0,72.0,50.0,0.0,37.78409090909091
2020-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-25,74.0,44.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,39.0,34.51704545454545
2020-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-27,66.0,0.0,0.0,72.0,59.0,0.0,0.0,0.0,48.0,0.0,34.80113636363636
