date,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9__10,/m/02gy9__11,/m/02gy9__12,/m/02gy9__13,/m/02gy9__14,/m/02gy9__15,/m/02gy9__16,/m/02gy9__17,/m/02gy9__18,/m/02gy9__19,/m/02gy9_
2020-12-05,68.67469879518072,40.0,17.0,17.0,16.0,56.0,49.0,28.0,35.0,47.0,0.0,14.0,28.0,15.0,29.0,43.0,29.0,29.0,25.0,17.0,48.53724565540128
2020-12-06,95.18072289156626,20.0,52.0,17.0,33.0,58.0,17.0,14.0,0.0,49.0,50.0,58.0,29.0,32.0,29.0,29.0,45.0,87.0,0.0,72.0,63.3161587052077
2020-12-07,0.0,39.0,16.0,16.0,0.0,37.0,16.0,14.0,51.0,15.0,62.0,28.0,28.0,31.0,14.0,0.0,14.0,43.0,0.0,34.0,36.88566743321787
2020-12-08,22.891566265060238,100.0,50.0,33.0,33.0,38.0,16.0,14.0,17.0,31.0,16.0,14.0,43.0,47.0,0.0,29.0,15.0,43.0,0.0,17.0,46.621837976304846
2020-12-09,46.98795180722892,40.0,67.0,100.0,33.0,57.0,16.0,72.0,88.0,62.0,16.0,56.0,71.0,47.0,43.0,29.0,44.0,28.0,13.0,69.0,80.3743486740605
2020-12-10,45.783132530120476,20.0,17.0,17.0,16.0,0.0,33.0,28.0,69.0,16.0,65.0,28.0,14.0,63.0,29.0,44.0,0.0,58.0,13.0,71.0,52.08957975528582
2020-12-11,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,33.0,49.0,57.0,30.0,95.0,15.0,15.0,15.0,59.0,0.0,72.0,36.80513104144229
2020-12-12,71.08433734939759,62.0,52.0,52.0,34.0,20.0,50.0,15.0,71.0,33.0,50.0,14.0,44.0,0.0,44.0,0.0,30.0,0.0,26.0,55.0,58.23460347956027
2020-12-13,24.09638554216868,85.0,54.0,35.0,34.0,40.0,69.0,30.0,0.0,51.0,52.0,60.0,30.0,66.0,15.0,46.0,63.0,46.0,13.0,56.0,69.99388699676885
2020-12-14,46.98795180722892,41.0,17.0,34.0,33.0,39.0,66.0,58.0,36.0,48.0,0.0,28.0,58.0,47.0,15.0,29.0,15.0,29.0,25.0,35.0,56.37450392493621
2020-12-15,48.19277108433735,63.0,35.0,70.0,51.0,20.0,17.0,75.0,92.0,33.0,100.0,74.0,30.0,32.0,60.0,74.0,61.0,45.0,39.0,92.0,89.491456350246
2020-12-16,24.09638554216868,21.0,54.0,36.0,35.0,40.0,17.0,0.0,18.0,16.0,50.0,0.0,0.0,32.0,30.0,0.0,32.0,30.0,13.0,74.0,42.047759050640906
2020-12-17,50.602409638554214,22.0,0.0,37.0,0.0,21.0,0.0,31.0,39.0,51.0,0.0,31.0,0.0,83.0,16.0,0.0,16.0,15.0,0.0,38.0,36.289892197673176
2020-12-18,26.50602409638554,23.0,19.0,57.0,19.0,64.0,38.0,16.0,39.0,18.0,0.0,48.0,16.0,18.0,16.0,65.0,0.0,33.0,28.0,39.0,46.91293336826479
2020-12-19,26.50602409638554,45.0,0.0,38.0,19.0,21.0,18.0,16.0,20.0,36.0,36.0,16.0,0.0,36.0,0.0,65.0,0.0,49.0,0.0,39.0,38.698221407155145
2020-12-20,54.216867469879524,24.0,20.0,20.0,39.0,22.0,19.0,34.0,41.0,0.0,37.0,33.0,34.0,0.0,17.0,67.0,35.0,50.0,0.0,62.0,48.983591923073206
2020-12-21,49.39759036144578,64.0,36.0,18.0,17.0,40.0,0.0,31.0,19.0,17.0,0.0,15.0,15.0,50.0,46.0,31.0,16.0,31.0,0.0,18.0,41.34718947399063
2020-12-22,77.10843373493977,23.0,38.0,0.0,72.0,42.0,18.0,63.0,19.0,72.0,18.0,16.0,78.0,52.0,32.0,16.0,67.0,32.0,28.0,20.0,63.06872762204176
