date,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0
2020-04-05,11.0,29.0,38.0,33.0,30.0,50.0,41.0,57.0,41.0,14.0,20.0,33.0,0.0,47.0,0.0,28.0,25.0,29.0,14.0,27.0,41.50805270863836
2020-04-06,34.0,33.0,39.0,38.0,11.0,25.0,10.0,33.0,43.0,11.0,16.0,63.0,38.0,0.0,20.0,32.0,38.0,32.0,32.0,0.0,40.117130307467065
2020-04-07,28.0,24.0,31.0,27.0,24.0,27.0,22.0,48.0,46.0,35.0,43.0,27.0,20.0,29.0,21.0,23.0,10.0,47.0,34.0,11.0,42.24011713030747
2020-04-08,10.0,61.0,21.0,14.0,0.0,0.0,24.0,49.0,12.0,0.0,9.0,42.0,0.0,30.0,11.0,37.0,0.0,0.0,24.0,12.0,26.0614934114202
2020-04-09,19.0,38.0,0.0,0.0,0.0,29.0,23.0,25.0,24.0,24.0,0.0,0.0,32.0,30.0,23.0,37.0,22.0,25.0,24.0,12.0,28.330893118594442
2020-04-10,10.0,12.0,22.0,15.0,26.0,0.0,24.0,12.0,25.0,12.0,9.0,28.0,32.0,30.0,11.0,0.0,22.0,25.0,37.0,0.0,25.768667642752572
2020-04-11,11.0,0.0,0.0,33.0,0.0,0.0,13.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,8.125915080527086
2020-04-12,0.0,29.0,12.0,0.0,29.0,0.0,27.0,0.0,27.0,14.0,10.0,16.0,12.0,12.0,0.0,28.0,12.0,0.0,28.0,27.0,20.717423133235727
2020-04-13,0.0,0.0,0.0,15.0,0.0,0.0,0.0,13.0,0.0,13.0,10.0,15.0,12.0,22.0,0.0,0.0,11.0,0.0,25.0,0.0,9.956076134699854
2020-04-14,9.0,12.0,10.0,14.0,24.0,40.0,0.0,0.0,0.0,12.0,0.0,0.0,20.0,0.0,21.0,0.0,59.0,0.0,12.0,0.0,17.05710102489019
2020-04-15,10.0,12.0,33.0,29.0,26.0,44.0,12.0,38.0,12.0,12.0,9.0,29.0,22.0,10.0,11.0,12.0,33.0,13.0,0.0,24.0,28.623718887262076
2020-04-16,19.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,12.0,12.0,9.0,14.0,11.0,10.0,0.0,12.0,11.0,13.0,12.0,0.0,10.834553440702784
2020-04-17,10.0,12.0,11.0,14.0,25.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,22.0,12.0,0.0,0.0,12.0,12.0,11.273792093704245
2020-04-18,33.0,0.0,0.0,48.0,0.0,32.0,13.0,0.0,0.0,14.0,0.0,16.0,36.0,23.0,37.0,14.0,36.0,0.0,14.0,13.0,24.084919472913622
2020-04-19,10.0,13.0,23.0,15.0,0.0,0.0,12.0,13.0,38.0,25.0,10.0,30.0,22.0,43.0,12.0,13.0,23.0,0.0,0.0,37.0,24.816983894582723
