date,/g/11j8_9sv06_0,/g/11j8_9sv06_1,/g/11j8_9sv06_2,/g/11j8_9sv06_3,/g/11j8_9sv06_4,/g/11j8_9sv06_5,/g/11j8_9sv06_6,/g/11j8_9sv06_7,/g/11j8_9sv06_8,/g/11j8_9sv06_9,/g/11j8_9sv06
2020-06-06,7.0,0.0,0.0,0.0,0.0,14.0,0.0,15.0,11.0,0.0,4.825462012320329
2020-06-07,13.0,11.0,0.0,0.0,7.0,26.0,24.0,0.0,0.0,14.0,9.75359342915811
2020-06-08,0.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,2.464065708418891
2020-06-09,0.0,0.0,19.0,31.0,0.0,32.0,20.0,0.0,8.0,23.0,13.655030800821354
2020-06-10,0.0,10.0,10.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,4.312114989733059
2020-06-11,6.0,10.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.9014373716632442
2020-06-12,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.5667351129363447
2020-06-13,6.0,0.0,0.0,24.0,7.0,12.0,23.0,13.0,20.0,27.0,13.552361396303901
2020-06-14,36.0,35.0,64.0,27.0,40.0,55.0,39.0,31.0,66.0,30.0,43.42915811088295
2020-06-15,6.0,19.0,10.0,0.0,7.0,11.0,21.0,12.0,9.0,25.0,12.320328542094455
2020-06-16,6.0,0.0,10.0,11.0,0.0,0.0,11.0,12.0,0.0,0.0,5.133470225872689
2020-06-17,6.0,10.0,11.0,0.0,0.0,36.0,22.0,26.0,0.0,38.0,15.297741273100614
2020-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-19,13.0,11.0,23.0,24.0,0.0,12.0,12.0,0.0,10.0,0.0,10.780287474332649
2020-06-20,0.0,0.0,27.0,0.0,8.0,15.0,0.0,16.0,35.0,31.0,13.552361396303901
2020-06-21,0.0,0.0,13.0,0.0,0.0,0.0,0.0,15.0,11.0,16.0,5.646817248459959
